code,titles,optionA,optionB,optionCD,optionE,eligible
1111 Chief executives and senior officials,• Chairman • Chief executive • Civil servant (grade 5 & above) • Diplomat • Vice President,"£84,100 (£43.13 per hour)","£75,690 (£38.82 per hour)","£67,280 (£34.50 per hour)","£58,870 (£30.19 per hour)",Yes
1121 Production managers and directors in manufacturing,• Engineering manager • Managing director (engineering) • Operations manager (manufacturing) • Production manager • Technical manager,"£51,500 (£26.41 per hour)","£46,350 (£23.77 per hour)","£41,200 (£21.13 per hour)","£36,050 (£18.49 per hour)",Yes
1122 Production managers and directors in construction mining and energy,"• Building services manager
• Construction manager
• Director (building construction)
• Owner (electrical contracting)
• Site manager
• Service manager (public
utilities)","£50,100 (£25.69 per hour)","£45,090 (£23.12 per hour)","£40,080 (£20.55 per hour)","£35,070 (£17.98 per hour)",Yes
1123 Production managers and directors in mining and energy,"• Operations manager (mining, water & energy)
• Quarry manager
• Service manager (public utilities)","£51,600 (£26.46 per hour)","£46,440 (£23.82 per hour)","£41,280 (£21.17 per hour)","£36,120 (£18.52
per hour)",Yes
"1131 Financial
managers and
directors",• Bank Manager • Finance Director • Insurance Manager • Investment banker • Treasury manager,"£70,000 (£35.90 per hour)","£63,000 (£32.31 per hour)","£56,000 (£28.72 per hour)","£49,000 (£25.13 per hour)",Yes
"1132 Marketing, sales and advertising directors",• Account director (advertising) • Commercial director • Marketing director • Media director • Sales director,"£83,000 (£42.56 per hour)","£74,700 (£38.31 per hour)","£66,400 (£34.05 per hour)","£58,100 (£29.79 per hour)",Yes
1133 Public relations and communications directors,• Head of communications • Head of public relations,"£79,900 (£40.97 per hour)","£71,910 (£36.88 per hour)","£63,920 (£32.78 per hour)","£55,930 (£28.68 per hour)",Yes
1134 Purchasing managers and directors,• Bid production manager • Director of contracts • Head of buying • Purchasing manager,"£50,300 (£25.79 per hour)","£45,270 (£23.22 per hour)","£40,240 (£20.64 per hour)","£35,210 (£18.06 per hour)",Yes
1135 Charitable organisation managers and directors,• Charity director • Manager (charitable organisation),"£40,900 (£20.97 per hour)","£36,810 (£18.88 per hour)","£32,720 (£16.78 per hour)","£30,960 (£15.88 per hour)",Yes
1136 Human resource managers and directors,"• Human resources business
partner
• Human resources director
• Personnel manager
• Recruitment manager
• Training director","£49,400 (£25.33 per hour)","£44,460 (£22.80 per hour)","£39,520 (£20.27 per hour)","£34,580 (£17.73 per hour)",Yes
1139 Functional managers and directors not elsewhere classified,"• Area secretary (trade
association)
• Chief officer (local government)
• Clerk to the county council
• General Secretary (trade union)
• Town Clerk","£69,900 (£35.85 per hour)","£62,910 (£32.26 per hour)","£55,920 (£28.68 per hour)","£48,930 (£25.09 per hour)",Yes
"1140 Directors in logistics, warehousing and transport","• Airport director
• Head of logistics
• Owner (delivery service)
• Supply chain director
• Traffic director (transport)","£72,200 (£37.03 per hour)","£64,980 (£33.32 per hour)","£57,760 (£29.62 per hour)","£50,540 (£25.92 per hour)",Yes
1150 Managers and directors in retail and wholesale,"• Car sales manager • Manager (garden centre) • Managing director (wholesale, retail trade) • Retail manager • Shop manager (charitable organisation) • Wholesale manager","£33,100 (£16.97 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
1162 Senior police officers,• Chief superintendent (police service) • CID officer • Detective inspector • Police inspector,"£59,100 (£30.31 per hour)","£53,190 (£27.28 per hour)","£47,280 (£24.25 per hour)","£41,370 (£21.22 per hour)",Yes
"1163 Senior officers in fire, ambulance, prison and related services",• Chief immigration officer (HM Revenue and Customs) • Fire service officer (government) • Prison governor • Station officer (ambulance service),"£59,900 (£30.72 per hour)","£53,910 (£27.65 per hour)","£47,920 (£24.57 per hour)","£41,930 (£21.50 per hour)",Yes
1171 Health services and public health managers and directors,"• Clinical manager
• Director of nursing
• Health service manager
• Information manager (health authority: hospital service)","£43,900 (£22.51 per hour)","£39,510 (£20.26 per hour)","£35,120 (£18.01 per hour)","£30,960 (£15.88 per hour)",Yes
1172 Social services managers and directors,• Children's centre manager • Commissioner (local government: social services) • Community services manager • Service manager (welfare services) • Social work manager,"£41,000 (£21.03 per hour)","£36,900 (£18.92 per hour)","£32,800 (£16.82 per hour)","£30,960 (£15.88 per hour)",Yes
1211 Managers and proprietors in agriculture and horticulture,• Farm manager • Farm owner • Nursery manager (horticulture) • Stock manager (farming),"£36,000 (£18.46 per hour)","£32,400 (£16.62 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"1212 Managers and proprietors in forestry, fishing and related services",• Cattery owner • Fish farm owner • Forest manager • Owner (landscape gardening) • Racehorse trainer,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1221 Hotel and accommodation managers and proprietors,• Caravan park owner • Hotel manager • Manager (passenger ships) • Service flats manager,"£32,700 (£16.77 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1222 Restaurant and catering establishment managers and proprietors,• Café owner • Operations manager (catering) • Restaurant manager • Shop manager (take-away food shop),"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1223 Publicans and managers of licensed premises,• Landlady (public house) • Licensee • Manager (wine bar) • Publican,"£33,500 (£17.18 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1224 Leisure and sports managers and proprietors,• Amusement arcade owner • Cinema manager • Football ground manager • Leisure centre manager • Theatre manager,"£33,100 (£16.97 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1225 Travel agency managers and proprietors,"• Branch manager (travel agents)
• Tourist information manager
• Travel agency owner
• Travel manager","£32,500 (£16.67 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1231 Health care practice managers,• Clinic manager • Dental practice manager • GP practice manager • Patient services manager • Veterinary practice manager,"£43,000 (£22.05 per hour)","£38,700 (£19.85 per hour)","£34,400 (£17.64 per hour)","£30,960 (£15.88 per hour)",No
"1232 Residential, day and domiciliary care managers and proprietors",• Care manager • Community centre manager • Day centre manager • Nursing home owner • Manager (sheltered housing) • Residential manager (care/residential home),"£36,400 (£18.67 per hour)","£32,760 (£16.80 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1233 Early education and childcare services proprietors,• Director (children's nursery) • Owner (nursery: children’s),"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1241 Managers in transport and distribution,• Distribution service manager • Fleet manager • Operations manager (transport) • Shipping manager • Transport manager,"£41,500 (£21.28 per hour)","£37,350 (£19.15 per hour)","£33,200 (£17.03 per hour)","£30,960 (£15.88 per hour)",No
1242 Managers in storage and warehousing,• Cellar manager (brewery) • Inventory manager • Operations manager • Stock manager • Warehouse manager,"£32,000 (£16.41 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1243 Managers in logistics,• Logistics manager • Supply chain manager,"£42,400 (£21.74 per hour)","£38,160 (£19.57 per hour)","£33,920 (£17.39 per hour)","£30,960 (£15.88 per hour)",No
"1251 Property, housing and estate managers","• Estate manager
• Facilities manager • Housing manager • Landlord (property management)
• Property manager","£38,400 (£19.69 per hour)","£34,560 (£17.72 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1252 Garage managers and proprietors,• Bodyshop manager (vehicle trades) • Garage director • Garage owner • Tyre depot manager,"£38,400 (£19.69 per hour)","£34,560 (£17.72 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1253 Hairdressing and beauty salon managers and proprietors,• Hairdressing salon owner • Manager (beauty salon) • Manager (nail salon) • Owner (pet grooming salon) • Owner (tanning studio) • Spa manager,"£38,400 (£19.69 per hour)","£34,560 (£17.72 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1254 Waste disposal and environmental services managers,• Environmental manager (refuse disposal) • Manager (local government: cleansing dept.) • Recycling plant manager • Scrap metal dealer,"£48,800 (£25.03 per hour)","£43,920 (£22.52 per hour)","£39,040 (£20.02 per hour)","£34,160 (£17.52 per hour)",No
1255 Managers and directors in the creative industries,• Art gallery owner • Artist manager • Director (architectural service) • Graphic design manager • Gallery Manager • Production manager (entertainment) • Publisher • Radio station manager,"£42,000 (£21.54 per hour)","£37,800 (£19.38 per hour)","£33,600 (£17.23 per hour)","£30,960 (£15.88 per hour)",No
1256 Betting shop and gambling establishment managers,• Betting shop manager • Bingo hall manager • Casino manager,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1257 Hire services managers and proprietors,• Hire manager • Plant hire manager • Rental service manager • Tool hire manager,"£38,400 (£19.69 per hour)","£34,560 (£17.72 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1258 Directors in consultancy services,"• Director (environmental consultancy)
• Owner (design consultancy)
• Owner (management
consultancy)","£38,400 (£19.69 per hour)","£34,560 (£17.72 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
1259 Managers and proprietors in other services not elsewhere classified,• Director (private detective agency) • Car park manager • Cemetery Manager • Library manager • Owner (cleaning services) • Training centre manager • Driving school owner,"£34,400 (£17.64 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
2111 Chemical scientists,• Analytical chemist • Chemist • Development chemist • Industrial chemist • Laboratory analyst • Research scientist (chemical),"£35,200 (£18.05 per hour)","£31,680 (£16.25 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
2112 Biological scientists,• Agricultural consultant • Forensic scientist • Horticulturist (professional) • Microbiologist • Pathologist,"£41,900 (£21.49 per hour)","£37,710 (£19.34 per hour)","£33,520 (£17.19 per hour)","£30,960 (£15.88 per hour)",Yes
2113 Biochemists and biomedical scientists,• Clinical technologist • Endocrinologist • Histopathologist • Medical technologist • Medical researcher,"£44,800 (£22.97 per hour)","£40,320 (£20.68 per hour)","£35,840 (£18.38 per hour)","£31,360 (£16.08 per hour)",Yes
2114 Physical scientists,• Geologist • Geophysicist • Medical physicist • Meteorologist • Oceanographer • Physicist • Seismologist,"£47,300 (£24.26 per hour)","£42,570 (£21.83 per hour)","£37,840 (£19.41 per hour)","£33,110 (£16.98 per hour)",Yes
2115 Social and humanities scientists,"• Anthropologist
• Archaeologist
• Criminologist
• Epidemiologist
• Geographer
• GIS analyst
• Historian
• Political researcher
• Social scientist","£36,400 (£18.67 per hour)","£32,760 (£16.80 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
"2119 Natural and social science professionals not elsewhere classified Note: For Skilled Worker purposes, SOC 2020 occupation code 2119 includes researchers in research organisations other than universities.",• Operational research scientist • Scientific officer • Scientist • Sports scientist • Technical officer (laboratory) • University research fellow (sciences),"£41,200 (£21.13 per hour)","£37,080 (£19.02 per hour)","£32,960 (£16.90 per hour)","£30,960 (£15.88 per hour)",Yes
2121 Civil engineers,• Building engineer • Civil engineer (professional) • Highways engineer • Petroleum engineer • Public health engineer • Site engineer (building construction) • Structural engineer,"£45,500 (£23.33 per hour)","£40,950 (£21.00 per hour)","£36,400 (£18.67 per hour)","£31,850 (£16.33 per hour)",Yes
"2122 Mechanical
engineers",• Automotive engineer (professional) • Design engineer (mechanical) • Marine engineer (professional) • Mechanical engineer (professional),"£42,500 (£21.79 per hour)","£38,250 (£19.62 per hour)","£34,000 (£17.44 per hour)","£30,960 (£15.88 per hour)",Yes
2123 Electrical engineers,"• Electrical design engineer
• Electrical engineer
(professional)
• Electrical surveyor
• Equipment engineer
• Power engineer
• Signal engineer (professional,
railways)","£53,500 (£27.44
per
hour)","(£24.69
per hour)",(£21.95 per hour),(£19.21 per hour),
2124 Electronics engineers,• Broadcasting engineer (professional) • Electronics designer • Electronics engineer (professional) • Microwave engineer (professional),"£49,900 (£25.59 per hour)","£44,910 (£23.03 per hour)","£39,920 (£20.47 per hour)","£34,930 (£17.91 per hour)",Yes
2125 Production and process engineers,• Chemical engineer • Industrial engineer • Pharmaceutical engineer • Process engineer • Production consultant • Production engineer,"£43,700 (£22.41 per hour)","£39,330 (£20.17 per hour)","£34,960 (£17.93 per hour)","£30,960 (£15.88 per hour)",Yes
2126 Aerospace engineers,• Aeronautical engineer (professional) • Aerospace engineer • Aircraft designer • Avionics engineer,"£46,400 (£23.79 per hour)","£41,760 (£21.42 per hour)","£37,120 (£19.04 per hour)","£32,480 (£16.66 per hour)",Yes
2127 Engineering project managers and project engineers,• Contracts manager (manufacturing) • Project engineer • Project manager (manufacturing),"£48,800 (£25.03 per hour)","£43,920 (£22.52 per hour)","£39,040 (£20.02 per hour)","£34,160 (£17.52 per hour)",Yes
2129 Engineering professionals not elsewhere classified,"• Acoustician (professional)
• Food technologist
• Metallurgist
• Scientific consultant
• Technical engineer
• Technologist
• Traffic engineer","£42,900 (£22.00 per hour)","£38,610 (£19.80 per hour)","£34,320 (£17.60 per hour)","£30,960 (£15.88 per hour)",Yes
2131 IT project managers,• Change manager (computing) • Implementation manager (computing) • IT project manager • Project leader (software design),"£51,900 (£26.62 per hour)","£46,710 (£23.95 per hour)","£41,520 (£21.29 per hour)","£36,330 (£18.63 per hour)",Yes
2132 IT managers,• Data centre manager • Data visualisation manager • IT manager • Network operations manager (computer services) • Product manager • Service delivery manager • Telecoms manager • UX manager,"£50,900 (£26.10 per hour)","£45,810 (£23.49 per hour)","£40,720 (£20.88 per hour)","£35,630 (£18.27 per hour)",Yes
"2133 IT business analysts, architects and systems designers",• Business analyst (computing) • Data communications analyst • Change analyst (computing) • Systems analyst • Systems consultant • Technical analyst (computing) • Technical architect • User experience architect,"£51,700 (£26.51 per hour)","£46,530 (£23.86 per hour)","£41,360 (£21.21 per hour)","£36,190 (£18.56 per hour)",Yes
2134 Programmers and software development professionals,• Analyst-programmer • Database developer • Games designer • Interactive designer • Mobile app developer • Programmer • Software engineer • Website builder,"£49,400 (£25.33 per hour)","£44,460 (£22.80 per hour)","£39,520 (£20.27 per hour)","£34,580 (£17.73 per hour)",Yes
2135 Cyber security professionals,• Data security manager • Ethical hacker • Forensic computer investigator • IT security analyst • Technical security consultant,"£45,300 (£23.23 per hour)","£40,770 (£20.91 per hour)","£36,240 (£18.58 per hour)","£31,710 (£16.26 per hour)",Yes
2136 IT quality and testing professionals,"• IT auditor • Quality analyst (computing)
• Software testing consultant
• Systems tester (computing)
• Test analyst (computing)
• Test engineer (professional,
software)","£39,900 (£20.46 per
hour)","£35,910 (£18.42 per hour)","£31,920 (£16.37 per
hour)","£30,960 (£15.88 per
hour)",Yes
2137 IT network professionals,• Network consultant • Network designer • Network installation engineer • Network planner,"£42,800 (£21.95 per hour)","£38,520 (£19.75 per hour)","£34,240 (£17.56 per hour)","£30,960 (£15.88 per hour)",Yes
2139 Information technology professionals not elsewhere classified,• Account manager (computing) • Internet engineer (professional) • IT planner • IT consultant • Technical evangelist • Webmaster • Web manager,"£44,200 (£22.67 per hour)","£39,780 (£20.40 per hour)","£35,360 (£18.13 per hour)","£30,960 (£15.88 per hour)",Yes
2141 Web design professionals,• Desktop publisher • User interface designer • UX designer (computing) • Web designer • Web producer,"£41,300 (£21.18 per hour)","£37,170 (£19.06 per hour)","£33,040 (£16.94 per hour)","£30,960 (£15.88 per hour)",Yes
2142 Graphic and multimedia designers,• 3D artist • Animator (computing) • Compositor (special effects) • Creative design assistant • Graphic artist • Graphic designer • Visual effects supervisor,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
2151 Conservation professionals,• Conservation officer • Countryside officer • Ecologist • Heritage manager • Land management adviser • Landscape scientist • Marine conservationist,"£36,600 (£18.77 per hour)","£32,940 (£16.89 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
2152 Environment professionals,"• Energy manager
• Environmental engineer
• Environmental protection officer
• Environmental technician
• Flood risk manager
• Water quality scientist","£36,100 (£18.51 per
hour)","£32,490 (£16.66 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per
hour)",Yes
2161 Research and development (R&D) managers,• Clinical trials manager • Consumer insights manager • Creative manager (research and development) • Design manager • Market research manager • Research manager (broadcasting),"£49,200 (£25.23 per hour)","£44,280 (£22.71 per hour)","£39,360 (£20.18 per hour)","£34,440 (£17.66 per hour)",Yes
"2162 Other researchers, unspecified discipline",• Postdoctoral researcher • Research assistant (university) • Research fellow (university) • University researcher,"£40,800 (£20.92 per hour)","£36,720 (£18.83 per hour)","£32,640 (£16.74 per hour)","£30,960 (£15.88 per hour)",Yes
2240 Veterinarians,• Veterinarian • Veterinary practitioner • Veterinary surgeon,"£48,100 (£24.67 per hour)","£43,290 (£22.20 per hour)","£38,480 (£19.73 per hour)","£33,670 (£17.27 per hour)",Yes
2311 Higher education teaching professionals,"• Fellow (university) • Lecturer (higher education, university) • Professor (higher education, university) • Tutor (higher education, university) • University lecturer • University teaching assistant","£47,700 (£24.46 per hour)","£42,930 (£22.02 per hour)","£38,160 (£19.57 per hour)","£33,390 (£17.12 per hour)",Yes
2317 Teachers of English as a foreign language,• TEFL • English as a second language teacher • ESOL tutor,"£36,600 (£18.77 per hour)","£32,940 (£16.89 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
2319 Teaching professionals not elsewhere classified,"• Adult education tutor
• Ballet teacher (qualified)
• Music teacher
• Private tutor
• Voice coach","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
2322 Education managers,"• Business school manager • Dean (further education) • Provost (higher education, university) • Registrar (educational establishments) • Vice chancellor (university)","£40,700 (£20.87 per hour)","£36,630 (£18.78 per hour)","£32,560 (£16.70 per hour)","£30,960 (£15.88 per hour)",Yes
2323 Education advisers and school inspectors,"• Advisory teacher • Assessor (further, higher education) • Curriculum adviser • Early years adviser • Education officer • School inspector","£37,500 (£19.23 per hour)","£33,750 (£17.31 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
2324 Early education and childcare services managers,• After school club manager • Childcare manager (day nursery) • Nursery manager (day nursery) • Pre-school manager,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
2329 Other educational professionals not elsewhere classified,"• Active schools coordinator • Education administrator (further, higher education) • Exam marker • International recruitment officer (university)","£43,100 (£22.10 per hour)","£38,790 (£19.89 per hour)","£34,480 (£17.68 per hour)","£30,960 (£15.88 per hour)",Yes
2411 Barristers and judges,"• Advocate • Barrister • Chairman (appeals tribunal, inquiry) • Coroner • Crown prosecutor • District judge • Legal advocate • Sherriff (Scottish Courts)","£52,400 (£26.87 per hour)","£47,160 (£24.18 per hour)","£41,920 (£21.50 per hour)","£36,680 (£18.81 per hour)",Yes
2412 Solicitors and lawyers,"• Lawyer
• Managing clerk (qualified solicitor)
• Solicitor
• Solicitor-partner
• Solicitor to the council","£52,300 (£26.82 per hour)","£47,070 (£24.14 per hour)","£41,840 (£21.46 per hour)","£36,610 (£18.77 per hour)",Yes
2419 Legal professionals not elsewhere classified,• Attorney • Conveyancer • Justice’s clerk • Legal adviser • Legal consultant • Legal counsel • Paralegal • Patent agent • Patent attorney • Solicitor’s clerk (articled),"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
2421 Chartered and certified accountants,• Accountant (qualified) • Auditor (qualified) • Chartered accountant • Company accountant • Cost accountant (qualified) • Financial controller (qualified accountant) • Management accountant (qualified),"£46,800 (£24.00 per hour)","£42,120 (£21.60 per hour)","£37,440 (£19.20 per hour)","£32,760 (£16.80 per hour)",Yes
2422 Finance and investment analysts and advisers,• Credit risk analyst • Financial adviser • Financial consultant • Mortgage adviser • Pensions consultant,"£40,600 (£20.82 per hour)","£36,540 (£18.74 per hour)","£32,480 (£16.66 per hour)","£30,960 (£15.88 per hour)",Yes
2423 Taxation experts,• Investigator (HM Revenue and Customs) • Tax adviser • Tax consultant • Tax inspector • Tax manager • Taxation specialist,"£46,300 (£23.74 per hour)","£41,670 (£21.37 per hour)","£37,040 (£18.99 per hour)","£32,410 (£16.62 per hour)",Yes
2431Management consultants and business analysts,"• Business adviser
• Business consultant
• Business continuity manager
• Digital business analyst
• Financial risk analyst
• Management consultant","£48,000 (£24.62 per
hour)","£43,200 (£22.15 per hour)","£38,400 (£19.69 per hour)","£33,600 (£17.23 per hour)",Yes
2432 Marketing and commercial managers,• Commercial manager • Client services manager (marketing) • Marketing development manager • Online marketing manager • Production manager (marketing),"£46,500 (£23.85 per hour)","£41,850 (£21.46 per hour)","£37,200 (£19.08 per hour)","£32,550 (£16.69 per hour)",Yes
"2433 Actuaries, economists and statisticians",• Actuarial consultant • Actuary • Bioinformatician • Economist • Financial engineer • Statistician • Statistical analyst • Web analyst,"£48,000 (£24.62 per hour)","£43,200 (£22.15 per hour)","£38,400 (£19.69 per hour)","£33,600 (£17.23 per hour)",Yes
